audit_timestamp,rollback_snapshot_id,production_dbf_flag,review_queue,reconstructed_claim_id,prototype_claimnum,policy_number,claim_family,first_activity_date,lifecycle_status,transaction_codes,net_payment,payout_total,div_on_dep_excluded,adjusted_payout,balancing_difference_adjusted,phase4_balancing_status,rebalance_status,distortion_pattern,business_explanation,recommended_business_question,recommended_next_action,rulebook_lineage
2026-06-16T14:11:35Z,PHASE26-CLIENT-BUSINESS-REVIEW-20260616T141135Z,N,UNBALANCED_DEATH_CLAIM,RC-9011196134-1-DEATH_CLAIM-C0-20200314,CLM0004500,9011196134,DEATH_CLAIM,20200314,SETTLED,0038|0094|0530,150000.00,76963.55,74045.81,2917.74,147082.26,UNBALANCED,UNBALANCED,PARTIAL_PAYOUT_MULTI_PAYEE_OR_INCOMPLETE,Death claim remains unbalanced after client-authorized 2023/603703R dividend-on-deposit exclusion (Phase 24 rebalance).,"Approve for UAT as-is (client accepts accounting variance), convert header-only, or permanently exclude from claims conversion?",CLIENT_DECISION_REQUIRED,phase24_client_balancing_rerun|phase25_uat_emit_refresh|phase26_client_business_review_packet
2026-06-16T14:11:35Z,PHASE26-CLIENT-BUSINESS-REVIEW-20260616T141135Z,N,UNBALANCED_DEATH_CLAIM,RC-9010736035-1-DEATH_CLAIM-C0-20190613,CLM0000888,9010736035,DEATH_CLAIM,20190613,SETTLED,0038|0094|0530,148656.00,81378.18,67531.60,13846.58,134809.42,UNBALANCED,UNBALANCED,PARTIAL_PAYOUT_MULTI_PAYEE_OR_INCOMPLETE,Death claim remains unbalanced after client-authorized 2023/603703R dividend-on-deposit exclusion (Phase 24 rebalance).,"Approve for UAT as-is (client accepts accounting variance), convert header-only, or permanently exclude from claims conversion?",CLIENT_DECISION_REQUIRED,phase24_client_balancing_rerun|phase25_uat_emit_refresh|phase26_client_business_review_packet
2026-06-16T14:11:35Z,PHASE26-CLIENT-BUSINESS-REVIEW-20260616T141135Z,N,UNBALANCED_DEATH_CLAIM,RC-9011209469-1-DEATH_CLAIM-C0-20190417,CLM0004921,9011209469,DEATH_CLAIM,20190417,SETTLED,0038|0094|0530|0630,100119.99,57899.33,43328.22,14571.11,85548.88,UNBALANCED,UNBALANCED,PARTIAL_PAYOUT_MULTI_PAYEE_OR_INCOMPLETE,Death claim remains unbalanced after client-authorized 2023/603703R dividend-on-deposit exclusion (Phase 24 rebalance).,"Approve for UAT as-is (client accepts accounting variance), convert header-only, or permanently exclude from claims conversion?",CLIENT_DECISION_REQUIRED,phase24_client_balancing_rerun|phase25_uat_emit_refresh|phase26_client_business_review_packet
2026-06-16T14:11:35Z,PHASE26-CLIENT-BUSINESS-REVIEW-20260616T141135Z,N,UNBALANCED_DEATH_CLAIM,RC-9010763006-1-DEATH_CLAIM-C0-20231228,CLM0001148,9010763006,DEATH_CLAIM,20231228,SETTLED,0038|0094|0530|0630,90290.87,75274.48,60154.81,15119.67,75171.20,UNBALANCED,UNBALANCED,PARTIAL_PAYOUT_MULTI_PAYEE_OR_INCOMPLETE,Death claim remains unbalanced after client-authorized 2023/603703R dividend-on-deposit exclusion (Phase 24 rebalance).,"Approve for UAT as-is (client accepts accounting variance), convert header-only, or permanently exclude from claims conversion?",CLIENT_DECISION_REQUIRED,phase24_client_balancing_rerun|phase25_uat_emit_refresh|phase26_client_business_review_packet
2026-06-16T14:11:35Z,PHASE26-CLIENT-BUSINESS-REVIEW-20260616T141135Z,N,UNBALANCED_DEATH_CLAIM,RC-9010842291-1-DEATH_CLAIM-C0-20210915,CLM0002199,9010842291,DEATH_CLAIM,20210915,SETTLED,0038|0094|0530,50000.00,18337.29,31714.51,-13377.22,63377.22,UNBALANCED,UNBALANCED,PARTIAL_PAYOUT_MULTI_PAYEE_OR_INCOMPLETE,Death claim remains unbalanced after client-authorized 2023/603703R dividend-on-deposit exclusion (Phase 24 rebalance).,"Approve for UAT as-is (client accepts accounting variance), convert header-only, or permanently exclude from claims conversion?",CLIENT_DECISION_REQUIRED,phase24_client_balancing_rerun|phase25_uat_emit_refresh|phase26_client_business_review_packet
2026-06-16T14:11:35Z,PHASE26-CLIENT-BUSINESS-REVIEW-20260616T141135Z,N,UNBALANCED_DEATH_CLAIM,RC-9010741943-1-DEATH_CLAIM-C0-20250718,CLM0000914,9010741943,DEATH_CLAIM,20250718,SETTLED,0038|0094|0530,50000.00,39515.55,50030.48,-10514.93,60514.93,UNBALANCED,UNBALANCED,PARTIAL_PAYOUT_MULTI_PAYEE_OR_INCOMPLETE,Death claim remains unbalanced after client-authorized 2023/603703R dividend-on-deposit exclusion (Phase 24 rebalance).,"Approve for UAT as-is (client accepts accounting variance), convert header-only, or permanently exclude from claims conversion?",CLIENT_DECISION_REQUIRED,phase24_client_balancing_rerun|phase25_uat_emit_refresh|phase26_client_business_review_packet
2026-06-16T14:11:35Z,PHASE26-CLIENT-BUSINESS-REVIEW-20260616T141135Z,N,UNBALANCED_DEATH_CLAIM,RC-9011199527-1-DEATH_CLAIM-C0-20191010,CLM0004660,9011199527,DEATH_CLAIM,20191010,SETTLED,0038|0094|0530|0630,40007.78,20001.21,30269.42,-10268.21,50275.99,UNBALANCED,UNBALANCED,PARTIAL_PAYOUT_MULTI_PAYEE_OR_INCOMPLETE,Death claim remains unbalanced after client-authorized 2023/603703R dividend-on-deposit exclusion (Phase 24 rebalance).,"Approve for UAT as-is (client accepts accounting variance), convert header-only, or permanently exclude from claims conversion?",CLIENT_DECISION_REQUIRED,phase24_client_balancing_rerun|phase25_uat_emit_refresh|phase26_client_business_review_packet
2026-06-16T14:11:35Z,PHASE26-CLIENT-BUSINESS-REVIEW-20260616T141135Z,N,UNBALANCED_DEATH_CLAIM,RC-9010771662-1-DEATH_CLAIM-C0-20220923,CLM0001267,9010771662,DEATH_CLAIM,20220923,SETTLED,0038|0094|0530,46012.47,46125.62,46238.77,-113.15,46125.62,UNBALANCED,UNBALANCED,DIV_ON_DEP_EXCLUDED_STILL_VARIANCE,Death claim remains unbalanced after client-authorized 2023/603703R dividend-on-deposit exclusion (Phase 24 rebalance).,"Approve for UAT as-is (client accepts accounting variance), convert header-only, or permanently exclude from claims conversion?",CLIENT_DECISION_REQUIRED,phase24_client_balancing_rerun|phase25_uat_emit_refresh|phase26_client_business_review_packet
2026-06-16T14:11:35Z,PHASE26-CLIENT-BUSINESS-REVIEW-20260616T141135Z,N,UNBALANCED_DEATH_CLAIM,RC-9010941103-1-DEATH_CLAIM-C0-20211018,CLM0003011,9010941103,DEATH_CLAIM,20211018,FUNDED,0038|0530|0630,22866.91,0.00,22866.91,-22866.91,45733.82,UNBALANCED,UNBALANCED,PARTIAL_PAYOUT_MULTI_PAYEE_OR_INCOMPLETE,Death claim remains unbalanced after client-authorized 2023/603703R dividend-on-deposit exclusion (Phase 24 rebalance).,"Approve for UAT as-is (client accepts accounting variance), convert header-only, or permanently exclude from claims conversion?",CLIENT_DECISION_REQUIRED,phase24_client_balancing_rerun|phase25_uat_emit_refresh|phase26_client_business_review_packet
2026-06-16T14:11:35Z,PHASE26-CLIENT-BUSINESS-REVIEW-20260616T141135Z,N,UNBALANCED_DEATH_CLAIM,RC-9010771111-1-DEATH_CLAIM-C0-20200430,CLM0001251,9010771111,DEATH_CLAIM,20200430,SETTLED,0038|0094|0530,50000.00,29840.23,20159.77,9680.46,40319.54,UNBALANCED,UNBALANCED,PARTIAL_PAYOUT_MULTI_PAYEE_OR_INCOMPLETE,Death claim remains unbalanced after client-authorized 2023/603703R dividend-on-deposit exclusion (Phase 24 rebalance).,"Approve for UAT as-is (client accepts accounting variance), convert header-only, or permanently exclude from claims conversion?",CLIENT_DECISION_REQUIRED,phase24_client_balancing_rerun|phase25_uat_emit_refresh|phase26_client_business_review_packet
