POLICY_NUMBER,ACCRUAL_DATE,LAST_CHG_DATE,LAST_CHG_TIME,LOAN_BALANCE,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,ACCRUED_INT_AMT,INTEREST_RATE,INTEREST_TYPE,INT_METHOD,STATUS_CODE,TYPE_CODE,LAST_REPAY_DATE,CAPITALIZED_DATE,INT_START_DATE,_LATEST_BALANCE_CLASS
9010300689   ,    20100801,     20101008,        90646,         .00,         8202.29,      -8202.29,            .00,        .0500,F            ,D         ,H          ,         ,       20100801,               0,      20100801,ZERO_BALANCE_HOLD
9010310404   ,    20131216,     20131217,        74422,         .00,           81.80,        -81.80,            .00,        .0500,F            ,D         ,H          ,R        ,       20131216,               0,      20131216,ZERO_BALANCE_HOLD
9010331768   ,    20250725,     20250728,       112855,     3707.11,         3522.25,        184.86,            .00,        .0500,F            ,D         ,A          ,R        ,       20250725,        20250725,      20250725,ACTIVE_CANDIDATE
9010346921   ,    20251230,     20251230,       181814,     1452.76,         1388.29,         64.47,            .00,        .0500,F            ,D         ,A          ,R        ,       20251230,        20251230,      20251230,ACTIVE_CANDIDATE
9010363098   ,    20181005,     20181008,        91917,         .08,           76.67,        -76.59,            .00,        .0500,F            ,D         ,R          ,R        ,       20181005,               0,      20181005,ACTIVE_CANDIDATE
9010367438   ,    20211110,     20220111,       142158,         .00,         1575.62,      -1575.62,            .00,        .0500,F            ,D         ,H          ,         ,       20211110,               0,      20211110,ZERO_BALANCE_HOLD
9010374099   ,    20090921,     20091120,       214319,         .00,         2274.18,      -2274.18,            .00,        .0500,F            ,D         ,H          ,         ,       20090921,               0,      20090921,ZERO_BALANCE_HOLD
9010376522   ,    20211006,     20211012,       101134,         .00,         7753.11,      -7753.11,            .00,        .0500,F            ,D         ,H          ,         ,       20211006,               0,      20211006,ZERO_BALANCE_HOLD
9010376529   ,    20190614,     20190614,       150122,         .00,         3482.37,      -3482.37,            .00,        .0500,F            ,D         ,H          ,         ,       20190614,               0,      20190614,ZERO_BALANCE_HOLD
9010377918   ,    20031106,     20031106,       155616,         .00,             .24,          -.24,            .00,        .0500,F            ,D         ,H          ,R        ,       20031106,               0,      20031106,ZERO_BALANCE_HOLD
9010378485   ,    20171021,     20171220,       175316,         .00,         8945.64,      -8945.64,            .00,        .0500,F            ,D         ,H          ,         ,       20171021,               0,      20171021,ZERO_BALANCE_HOLD
9010380049   ,    20251113,     20251113,       181002,     5299.98,         5034.98,        265.00,            .00,        .0500,F            ,D         ,A          ,R        ,       20241205,        20251113,      20251113,ACTIVE_CANDIDATE
