source_file,source_row_number,source_coverage_id,resolved_plan,attempted_plan,authoritative_plan,is_authorized,authority_source,authority_column_used,resolution_path,emitted_to_quikplan,governance_status
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,2,0822 620,920ADB,920ADB,920ADB,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,3,0822 665,965ADB,965ADB,965ADB,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,4,0822 960,960ADB,960ADB,960ADB,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,5,0822 960PO,9POADB,9POADB,9POADB,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,6,0823 665,9665WP,9665WP,9665WP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,7,0823 896,9896WP,9896WP,9896WP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,8,0823 96085,9085WP,9085WP,9085WP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,9,0823 960CH,960CWP,960CWP,960CWP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,10,0823 960LP,9065WP,9065WP,9065WP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,11,0823 960OL,90OLWP,90OLWP,90OLWP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,12,0823 960PO,90POWP,90POWP,90POWP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,13,0823 960SP,960SWP,960SWP,960SWP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,14,0824 P DIS,94PDIS,94PDIS,94PDIS,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
